PARK,PARK NUMBER,FACILITY NAME,FACILITY TYPE,X COORDINATE,Y COORDINATE,LOCATION
ABBOTT (ROBERT),259,PLAYGROUND,OUTDOOR,1178619.54153,1841712.82415,"{'latitude': '41.72096', 'longitude': '-87.621351', 'needs_recoding': False}"
ABBOTT (ROBERT),259,SENIOR CENTER,INDOOR,1178491.24651,1841782.61436,"{'latitude': '41.721154', 'longitude': '-87.621819', 'needs_recoding': False}"
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,1178475.8803999999,1841904.3723200001,"{'latitude': '41.721489', 'longitude': '-87.621872', 'needs_recoding': False}"
ABBOTT (ROBERT),259,SPRAY FEATURE,OUTDOOR,1178306.43389,1841899.4609099999,"{'latitude': '41.721479', 'longitude': '-87.622493', 'needs_recoding': False}"
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,1178678.4794000001,1841175.63001,"{'latitude': '41.719484', 'longitude': '-87.621152', 'needs_recoding': False}"
ABBOTT (ROBERT),259,BASEBALL SR,OUTDOOR,1178160.31705,1841164.5791799999,"{'latitude': '41.719466', 'longitude': '-87.62305', 'needs_recoding': False}"
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,1178080.5052100001,1841614.59436,"{'latitude': '41.720702', 'longitude': '-87.623329', 'needs_recoding': False}"
ABBOTT (ROBERT),259,TENNIS COURT,OUTDOOR,1178125.93655,1841614.59436,"{'latitude': '41.720701', 'longitude': '-87.623162', 'needs_recoding': False}"
ABBOTT (ROBERT),259,TRACK,OUTDOOR,1178253.6354400001,1840687.55061,"{'latitude': '41.718154', 'longitude': '-87.622723', 'needs_recoding': False}"
ABBOTT (ROBERT),259,VOLLEYBALL,OUTDOOR,1178064.5429700001,1841736.15383,"{'latitude': '41.721036', 'longitude': '-87.623383', 'needs_recoding': False}"
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,1169422.3975200001,1829549.48758,"{'latitude': '41.687785', 'longitude': '-87.655389', 'needs_recoding': False}"
ADA (SAWYER GARRETT),45,BASKETBALL COURT,OUTDOOR,1169493.6477099999,1829549.48758,"{'latitude': '41.687784', 'longitude': '-87.655128', 'needs_recoding': False}"
ADA (SAWYER GARRETT),45,FOOTBALL/SOCCER COMBO FLD,OUTDOOR,1169846.94031,1829819.97523,"{'latitude': '41.688518', 'longitude': '-87.653827', 'needs_recoding': False}"
ADA (SAWYER GARRETT),45,FITNESS CENTER,INDOOR,1169213.8378999999,1829674.5824800001,"{'latitude': '41.688133', 'longitude': '-87.656149', 'needs_recoding': False}"
ADA (SAWYER GARRETT),45,GYMNASIUM,INDOOR,1169259.84831,1829709.55058,"{'latitude': '41.688228', 'longitude': '-87.65598', 'needs_recoding': False}"
ADA (SAWYER GARRETT),45,BASEBALL JR/SOFTBALL,OUTDOOR,1169613.64747,1829930.1124799999,"{'latitude': '41.688826', 'longitude': '-87.654678', 'needs_recoding': False}"
