Community Area Number,COMMUNITY AREA NAME,PERCENT OF HOUSING CROWDED,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 16+ UNEMPLOYED,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PERCENT AGED UNDER 18 OR OVER 64,PER CAPITA INCOME ,HARDSHIP INDEX,NORM POP,NORM INCCAP
1,Rogers Park,7.7,23.6,8.7,18.2,27.5,23939,39,0.544919384,0.195580852
2,West Ridge,7.8,17.2,8.8,20.8,38.5,23040,46,0.722160647,0.184408709
3,Uptown,3.8,24,8.9,11.8,22.2,35787,20,0.55925469,0.342819506
4,Lincoln Square,3.4,10.9,8.2,13.4,25.5,37524,17,0.382870825,0.364405726
5,North Center,0.3,7.5,5.2,4.5,26.2,57123,6,0.303132646,0.607968385
6,Lake View,1.1,11.4,4.7,2.6,17,60058,5,0.956649031,0.644442511
7,Lincoln Park,0.8,12.3,5.1,3.6,21.5,71551,2,0.640331249,0.787269474
8,Near North Side,1.9,12.9,7,2.5,22.6,88669,1,0.81147661,1
9,Edison Park,1.1,3.3,6.5,7.4,35.3,40959,8,0.086900604,0.407093503
10,Norwood Park,2,5.4,9,11.5,39.5,32875,21,0.357044271,0.306631207
11,Jefferson Park,2.7,8.6,12.4,13.4,35.5,27751,25,0.236014973,0.242953721
12,Forest Glen,1.1,7.5,6.8,4.9,40.5,44164,11,0.163449675,0.446923
13,North Park,3.9,13.2,9.9,14.4,39,26576,33,0.157416508,0.228351643
14,Albany Park,11.3,19.2,10,32.9,32,21323,53,0.508856312,0.163071034
15,Portage Park,4.1,11.6,12.6,19.3,34,24336,35,0.640414898,0.20051449
16,Irving Park,6.3,13.1,10,22.4,31.6,27249,34,0.527855037,0.236715216
17,Dunning,5.2,10.6,10,16.2,33.6,26282,28,0.408373241,0.224698017
18,Montclaire,8.1,15.3,13.8,23.5,38.6,22014,50,0.110311801,0.171658299
19,Belmont Cragin,10.8,18.7,14.6,37.3,37.3,15461,70,0.793272549,0.0902222
20,Hermosa,6.9,20.5,13.1,41.6,36.4,15089,71,0.231435204,0.085599244
21,Avondale,6,15.3,9.2,24.7,31,20039,42,0.380455467,0.147114381
22,Logan Square,3.2,16.8,8.2,14.8,26.2,31908,23,0.731037872,0.294614008
23,Humboldt park,14.8,33.9,17.3,35.4,38,13781,85,0.558846902,0.069344336
24,West Town,2.3,14.7,6.6,12.9,21.7,43198,10,0.829795688,0.434918228
25,Austin,6.3,28.6,22.6,24.4,37.9,15957,73,1,0.096386141
26,West Garfield Park,9.4,41.7,25.8,24.5,43.6,10934,92,0.158148435,0.033963812
27,East Garfield Park,8.2,42.4,19.6,21.3,43.2,12961,83,0.184978774,0.059153949
28,Near West Side,3.8,20.6,10.7,9.6,22.2,44689,15,0.543769213,0.453447333
29,North Lawndale,7.4,43.1,21.2,27.6,42.7,12034,87,0.34542755,0.047633842
30,South Lawndale,15.2,30.7,15.8,54.8,33.8,10402,96,0.79897112,0.027352488
31,Lower West Side,9.6,25.8,15.8,40.7,32.6,16444,76,0.343932328,0.102438236
32,Loop,1.5,14.7,5.7,3.1,13.5,65526,3,0.276114097,0.712394989
33,Near South Side,1.3,13.8,4.9,7.4,21.8,59077,7,0.19358414,0.63225133
34,Armour Square,5.7,40.1,16.7,34.5,38.3,16148,82,0.109945837,0.098759755
35,Douglas,1.8,29.6,18.2,14.3,30.7,23791,47,0.160626529,0.193741612
36,Oakland,1.3,39.7,28.7,18.4,40.4,19252,78,0.031807441,0.137334096
37,Fuller Park,3.2,51.2,33.9,26.6,44.9,10432,97,0,0.027725307
38,Grand Boulevard,3.3,29.3,24.3,15.9,39.5,23472,57,0.199219975,0.189777303
39,Kenwood,2.4,21.7,15.7,11.3,35.4,35911,26,0.15647546,0.344360491
40,Washington Park,5.6,42.1,28.6,25.4,42.8,13785,88,0.092442335,0.069394045
41,Hyde Park,1.5,18.4,8.4,4.3,26.2,39056,14,0.238451243,0.383444351
42,Woodlawn,2.9,30.7,23.4,16.5,36.1,18672,58,0.218155963,0.130126261
43,South Shore,2.8,31.1,20,14,35.7,19398,55,0.513749765,0.139148481
44,Chatham,3.3,27.8,24,14.5,40.3,18881,60,0.294359982,0.132723567
45,Avalon Park,1.4,17.2,21.1,10.6,39.3,24454,41,0.076423597,0.201980912
46,South Chicago,4.7,29.8,19.7,26.6,41.1,16579,75,0.296137519,0.104115922
47,Burnside,6.8,33,18.6,19.3,42.7,12515,79,0.000418244,0.053611373
48,Calumet Heights,2.1,11.5,20,11,44,28887,38,0.114347853,0.257071134
49,Roseland,2.5,19.8,20.3,16.9,41.2,17949,52,0.436468768,0.121141323
50,Pullman,1.5,21.6,22.8,13.1,38.6,20588,51,0.046519166,0.153936969
51,South Deering,4,29.2,16.3,21,39.5,14685,65,0.127909408,0.080578615
52,East Side,6.8,19.2,12.1,31.9,42.8,17104,64,0.210857609,0.110640255
53,West Pullman,3.3,25.9,19.4,20.5,42.1,16563,62,0.27996194,0.103917085
54,Riverdale,5.8,56.5,34.6,27.5,51.5,8201,98,0.037704678,0
55,Hegewisch,3.3,17.1,9.6,19.2,42.9,22677,44,0.068487421,0.179897599
56,Garfield Ridge,2.6,8.8,11.3,19.3,38.1,26353,32,0.330799473,0.225580355
57,Archer Heights,8.5,14.1,16.5,35.9,39.2,16134,67,0.10996675,0.098585773
58,Brighton Park,14.4,23.6,13.9,45.1,39.3,13089,84,0.444300383,0.060744644
59,McKinley Park,7.2,18.7,13.4,32.9,35.6,16954,61,0.133168824,0.108776159
60,Bridgeport,4.5,18.9,13.7,22.2,31.3,22694,43,0.304282816,0.180108863
61,New City,11.9,29,23,41.5,38.9,12765,91,0.433938393,0.056718199
62,West Elsdon,11.1,15.6,16.7,37,37.7,15754,69,0.159277693,0.093863399
63,Gage Park,15.8,23.4,18.2,51.5,38.8,12171,93,0.387063719,0.049336382
64,Clearing,2.7,8.9,9.5,18.8,37.6,25113,29,0.21187185,0.210170503
65,West Lawn,5.8,14.9,9.6,33.6,39.6,16907,56,0.318691315,0.108192076
66,Chicago Lawn,7.6,27.9,17.1,31.2,40.6,13231,80,0.551579916,0.06250932
67,West Englewood,4.8,34.4,35.9,26.3,40.7,11317,89,0.341171919,0.038723468
68,Englewood,3.8,46.6,28,28.5,42.5,11888,94,0.290449403,0.045819456
69,Greater Grand Crossing,3.6,29.6,23,16.5,41,17285,66,0.310817876,0.112889596
70,Ashburn,4,10.4,11.7,17.7,36.9,23482,37,0.399475104,0.189901576
71,Auburn Gresham,4,27.6,28.3,18.5,41.9,15528,74,0.479589703,0.091054829
72,Beverly,0.9,5.1,8,3.7,40.5,39523,12,0.179405676,0.3892479
73,Washington Height,1.1,16.9,20.8,13.7,42.6,19713,48,0.246941592,0.143063081
74,Mount Greenwood,1,3.4,8.7,4.3,36.8,34381,16,0.16956649,0.325346722
75,Morgan Park,0.8,13.2,15,10.8,40.3,27149,30,0.205650474,0.235472486
76,O'Hare,3.6,15.4,7.1,10.9,30.3,25828,24,0.103306217,0.219056022
77,Edgewater,4.1,18.2,9.2,9.7,23.8,33385,19,0.560917209,0.312969131
