ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60604,16,04/12/2020,04/18/2020,,,,,3,16,384,2046,0.0,0.0,0,0,0.0,0.0,782,60604-16,POINT (-87.629029 41.878153)
60604,17,04/19/2020,04/25/2020,2,6,256,767.3,13,29,1662,3708.4,0.2,0.2,0,0,0.0,0.0,782,60604-17,POINT (-87.629029 41.878153)
60604,18,04/26/2020,05/02/2020,5,11,639,1406.6,16,45,2046,5754.5,0.2,0.2,0,0,0.0,0.0,782,60604-18,POINT (-87.629029 41.878153)
60602,51,12/13/2020,12/19/2020,2,63,161,5064.3,57,1420,4582,114147.9,0.0,0.1,0,1,0.0,80.4,1244,60602-51,POINT (-87.628309 41.883136)
60605,14,03/29/2020,04/04/2020,13,52,47,189,65,254,236,923,0.1,0.1,0,0,0.0,0.0,27519,60605-14,POINT (-87.623449 41.867824)
60605,16,04/12/2020,04/18/2020,28,93,102,337.9,99,444,360,1613.4,0.1,0.1,0,0,0.0,0.0,27519,60605-16,POINT (-87.623449 41.867824)
60615,14,03/29/2020,04/04/2020,42,99,101,238.2,177,457,426,1099.5,0.2,0.2,3,4,7.2,9.6,41563,60615-14,POINT (-87.602725 41.801993)
60606,15,04/05/2020,04/11/2020,2,7,64,225.7,42,97,1354,3128,0.2,0.2,0,0,0.0,0.0,3101,60606-15,POINT (-87.63676 41.882634)
60601,37,09/06/2020,09/12/2020,32,193,218,1315.2,1427,5324,9724,36279.4,0.0,0.0,0,5,0.0,34.1,14675,60601-37,POINT (-87.622844 41.886262)
60601,45,11/01/2020,11/07/2020,57,379,388,2582.6,567,9346,3864,63686.5,0.1,0.0,0,7,0.0,47.7,14675,60601-45,POINT (-87.622844 41.886262)
