FIPStxt,State,Area_name,Metro_2013,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Median_Household_Income_2016,POVALL_2016,CI90LBAll_2016,CI90UBALL_2016
1001,AL,"Autauga County, AL",1,"25,918","24,593","1,325",5.1,"$54,487 ","7,444","6,255","8,633"
1003,AL,"Baldwin County, AL",1,"90,500","85,656","4,844",5.4,"$56,460 ","24,005","20,132","27,878"
1005,AL,"Barbour County, AL",0,"8,402","7,700",702,8.4,"$32,884 ","6,787","5,551","8,023"
1007,AL,"Bibb County, AL",1,"8,607","8,050",557,6.5,"$43,079 ","4,099","3,194","5,004"
1009,AL,"Blount County, AL",1,"24,576","23,248","1,328",5.4,"$47,213 ","8,033","6,506","9,560"
1011,AL,"Bullock County, AL",0,"4,824","4,493",331,6.9,"$34,278 ","2,841","2,155","3,527"
1013,AL,"Butler County, AL",0,"9,190","8,553",637,6.9,"$35,409 ","4,880","4,033","5,727"
1015,AL,"Calhoun County, AL",1,"45,818","42,815","3,003",6.6,"$41,778 ","19,057","16,226","21,888"
1017,AL,"Chambers County, AL",0,"14,978","14,158",820,5.5,"$39,530 ","6,656","5,264","8,048"
1019,AL,"Cherokee County, AL",0,"11,332","10,757",575,5.1,"$41,456 ","4,273","3,327","5,219"
1021,AL,"Chilton County, AL",1,"19,183","18,128","1,055",5.5,"$44,188 ","7,960","6,561","9,359"
1023,AL,"Choctaw County, AL",0,"4,327","3,958",369,8.5,"$32,691 ","2,910","2,296","3,524"
1025,AL,"Clarke County, AL",0,"7,953","7,087",866,10.9,"$34,061 ","6,977","6,090","7,864"
1027,AL,"Clay County, AL",0,"5,624","5,289",335,6,"$38,512 ","2,495","2,012","2,978"
1029,AL,"Cleburne County, AL",0,"5,785","5,438",347,6,"$43,483 ","2,527","2,037","3,017"
1031,AL,"Coffee County, AL",0,"20,593","19,382","1,211",5.9,"$48,632 ","7,271","6,008","8,534"
1033,AL,"Colbert County, AL",1,"23,449","21,816","1,633",7,"$46,572 ","8,982","7,483","10,481"
1035,AL,"Conecuh County, AL",0,"4,548","4,164",384,8.4,"$29,758 ","3,464","2,735","4,193"
1037,AL,"Coosa County, AL",0,"4,379","4,117",262,6,"$36,441 ","1,801","1,382","2,220"
1039,AL,"Covington County, AL",0,"15,490","14,441","1,049",6.8,"$35,010 ","7,228","6,021","8,435"
1041,AL,"Crenshaw County, AL",0,"6,451","6,072",379,5.9,"$37,374 ","2,822","2,266","3,378"
1043,AL,"Cullman County, AL",0,"37,898","36,010","1,888",5,"$41,543 ","12,133","9,928","14,338"
1045,AL,"Dale County, AL",0,"19,956","18,799","1,157",5.8,"$40,523 ","9,936","8,518","11,354"
1047,AL,"Dallas County, AL",0,"15,417","13,993","1,424",9.2,"$30,488 ","13,987","12,242","15,732"
1049,AL,"DeKalb County, AL",0,"29,229","27,453","1,776",6.1,"$37,128 ","14,362","12,376","16,348"
1051,AL,"Elmore County, AL",1,"37,221","35,446","1,775",4.8,"$54,553 ","10,316","8,462","12,170"
1053,AL,"Escambia County, AL",0,"14,551","13,582",969,6.7,"$35,096 ","8,020","6,558","9,482"
1055,AL,"Etowah County, AL",1,"43,261","40,701","2,560",5.9,"$40,972 ","17,624","14,904","20,344"
1057,AL,"Fayette County, AL",0,"6,594","6,149",445,6.7,"$38,403 ","3,307","2,647","3,967"
1059,AL,"Franklin County, AL",0,"13,864","13,047",817,5.9,"$37,049 ","6,272","5,092","7,452"
1061,AL,"Geneva County, AL",1,"10,804","10,178",626,5.8,"$36,976 ","5,495","4,344","6,646"
1063,AL,"Greene County, AL",0,"2,871","2,585",286,10,"$26,559 ","2,845","2,258","3,432"
1065,AL,"Hale County, AL",1,"5,981","5,522",459,7.7,"$35,381 ","3,495","2,792","4,198"
1067,AL,"Henry County, AL",1,"6,721","6,282",439,6.5,"$41,426 ","3,159","2,546","3,772"
1069,AL,"Houston County, AL",1,"44,543","41,959","2,584",5.8,"$42,910 ","19,878","17,904","21,852"
1071,AL,"Jackson County, AL",0,"23,580","22,089","1,491",6.3,"$41,407 ","9,007","7,687","10,327"
1073,AL,"Jefferson County, AL",1,"311,128","293,251","17,877",5.7,"$50,109 ","98,463","89,692","107,234"
1075,AL,"Lamar County, AL",0,"5,688","5,367",321,5.6,"$38,358 ","2,545","2,039","3,051"
1077,AL,"Lauderdale County, AL",1,"42,522","39,811","2,711",6.4,"$44,124 ","13,739","11,423","16,055"
1079,AL,"Lawrence County, AL",1,"13,717","12,768",949,6.9,"$43,107 ","5,530","4,376","6,684"
1081,AL,"Lee County, AL",1,"72,336","68,544","3,792",5.2,"$47,749 ","28,139","25,176","31,102"
1083,AL,"Limestone County, AL",1,"40,679","38,539","2,140",5.3,"$52,181 ","11,511","9,490","13,532"
1085,AL,"Lowndes County, AL",1,"3,800","3,398",402,10.6,"$32,011 ","3,252","2,720","3,784"
1087,AL,"Macon County, AL",0,"7,866","7,266",600,7.6,"$30,681 ","5,183","4,057","6,309"
1089,AL,"Madison County, AL",1,"173,529","164,614","8,915",5.1,"$61,193 ","47,081","42,457","51,705"
1091,AL,"Marengo County, AL",0,"7,670","7,121",549,7.2,"$34,794 ","5,003","4,074","5,932"
1093,AL,"Marion County, AL",0,"12,494","11,665",829,6.6,"$36,386 ","5,386","4,381","6,391"
1095,AL,"Marshall County, AL",0,"41,572","39,350","2,222",5.3,"$42,117 ","19,703","17,356","22,050"
1097,AL,"Mobile County, AL",1,"187,740","175,270","12,470",6.6,"$45,233 ","79,364","71,667","87,061"
1099,AL,"Monroe County, AL",0,"7,314","6,650",664,9.1,"$36,639 ","5,472","4,556","6,388"
1101,AL,"Montgomery County, AL",1,"105,737","99,733","6,004",5.7,"$45,111 ","40,760","35,449","46,071"
1103,AL,"Morgan County, AL",1,"54,852","51,812","3,040",5.5,"$46,843 ","18,457","15,628","21,286"
1105,AL,"Perry County, AL",0,"3,466","3,108",358,10.3,"$25,221 ","3,066","2,342","3,790"
1107,AL,"Pickens County, AL",1,"7,764","7,230",534,6.9,"$35,968 ","4,756","3,863","5,649"
1109,AL,"Pike County, AL",0,"14,946","13,973",973,6.5,"$35,172 ","7,793","6,569","9,017"
1111,AL,"Randolph County, AL",0,"9,426","8,899",527,5.6,"$40,283 ","4,839","3,986","5,692"
1113,AL,"Russell County, AL",1,"23,524","22,217","1,307",5.6,"$38,617 ","11,108","9,069","13,147"
1115,AL,"St. Clair County, AL",1,"39,073","37,043","2,030",5.2,"$57,856 ","10,352","8,324","12,380"
1117,AL,"Shelby County, AL",1,"109,551","104,831","4,720",4.3,"$74,212 ","16,406","13,935","18,877"
1119,AL,"Sumter County, AL",0,"5,110","4,716",394,7.7,"$26,814 ","3,933","3,092","4,774"
1121,AL,"Talladega County, AL",0,"34,807","32,507","2,300",6.6,"$40,555 ","13,864","11,411","16,317"
1123,AL,"Tallapoosa County, AL",0,"18,575","17,537","1,038",5.6,"$40,169 ","8,111","6,817","9,405"
1125,AL,"Tuscaloosa County, AL",1,"99,232","93,619","5,613",5.7,"$47,483 ","34,384","30,140","38,628"
1127,AL,"Walker County, AL",1,"25,561","23,656","1,905",7.5,"$39,511 ","13,097","11,028","15,166"
1129,AL,"Washington County, AL",0,"6,740","6,158",582,8.6,"$37,575 ","3,018","2,375","3,661"
1131,AL,"Wilcox County, AL",0,"2,818","2,411",407,14.4,"$24,216 ","3,466","2,701","4,231"
1133,AL,"Winston County, AL",0,"9,530","8,853",677,7.1,"$38,644 ","4,061","3,180","4,942"
2013,AK,"Aleutians East Borough, AK",0,"2,591","2,521",70,2.7,"$63,991 ",487,365,609
2016,AK,"Aleutians West Census Area, AK",0,"3,986","3,853",133,3.3,"$78,151 ",438,333,543
2020,AK,"Anchorage Borough/municipality, AK",1,"155,798","147,142","8,656",5.6,"$83,959 ","21,108","18,016","24,200"
2050,AK,"Bethel Census Area, AK",0,"7,267","6,225","1,042",14.3,"$46,634 ","4,502","3,834","5,170"
2060,AK,"Bristol Bay Borough, AK",0,414,385,29,7,"$68,026 ",100,77,123
2068,AK,"Denali Borough, AK",0,"1,096",996,100,9.1,"$72,378 ",121,91,151
2070,AK,"Dillingham Census Area, AK",0,"2,082","1,880",202,9.7,"$52,250 ",965,731,"1,199"
2090,AK,"Fairbanks North Star Borough, AK",1,"46,550","43,792","2,758",5.9,"$73,427 ","8,144","6,704","9,584"
2100,AK,"Haines Borough, AK",0,"1,077",966,111,10.3,"$53,471 ",257,196,318
2105,AK,"Hoonah-Angoon Census Area, AK",0,"1,207","1,063",144,11.9,"$53,884 ",397,308,486
2110,AK,"Juneau Borough/city, AK",0,"17,372","16,587",785,4.5,"$82,011 ","2,334","1,836","2,832"
2122,AK,"Kenai Peninsula Borough, AK",0,"27,227","24,889","2,338",8.6,"$68,501 ","6,835","5,773","7,897"
2130,AK,"Ketchikan Gateway Borough, AK",0,"7,040","6,577",463,6.6,"$67,125 ","1,245",973,"1,517"
2150,AK,"Kodiak Island Borough, AK",0,"6,430","6,096",334,5.2,"$74,683 ",991,769,"1,213"
2158,AK,"Kusilvak Census Area, AK",0,"2,734","2,140",594,21.7,"$34,341 ","3,033","2,628","3,438"
2164,AK,"Lake and Peninsula Borough, AK",0,657,574,83,12.6,"$44,310 ",325,256,394
2170,AK,"Matanuska-Susitna Borough, AK",1,"47,520","43,580","3,940",8.3,"$71,793 ","9,641","8,206","11,076"
2180,AK,"Nome Census Area, AK",0,"4,095","3,571",524,12.8,"$55,974 ","2,337","1,974","2,700"
2185,AK,"North Slope Borough, AK",0,"3,962","3,691",271,6.8,"$74,998 ","1,132",881,"1,383"
2188,AK,"Northwest Arctic Borough, AK",0,"2,973","2,494",479,16.1,"$53,692 ","2,114","1,815","2,413"
2195,AK,"Petersburg Borough, AK",0,"1,453","1,321",132,9.1,"$60,540 ",265,204,326
2198,AK,"Prince of Wales-Hyder Census Area, AK",0,"2,775","2,435",340,12.3,"$48,888 ","1,109",874,"1,344"
2220,AK,"Sitka Borough/city, AK",0,"4,380","4,176",204,4.7,"$72,795 ",690,522,858
2230,AK,"Skagway Municipality, AK",0,808,717,91,11.3,"$65,112 ",48,37,59
2240,AK,"Southeast Fairbanks Census Area, AK",0,"3,004","2,679",325,10.8,"$59,412 ",804,611,997
2261,AK,"Valdez-Cordova Census Area, AK",0,"4,821","4,404",417,8.6,"$69,755 ",852,649,"1,055"
2275,AK,"Wrangell Borough/city, AK",0,"1,056",976,80,7.6,"$56,747 ",274,207,341
2282,AK,"Yakutat Borough/city, AK",0,245,224,21,8.6,"$57,687 ",101,77,125
2290,AK,"Yukon-Koyukuk Census Area, AK",0,"2,430","1,993",437,18,"$37,906 ","1,266","1,046","1,486"
4001,AZ,"Apache County, AZ",0,"20,223","17,907","2,316",11.5,"$34,040 ","23,966","21,828","26,104"
4003,AZ,"Cochise County, AZ",1,"49,369","46,297","3,072",6.2,"$45,151 ","25,424","22,227","28,621"
4005,AZ,"Coconino County, AZ",1,"73,841","69,405","4,436",6,"$53,643 ","23,116","20,177","26,055"
4007,AZ,"Gila County, AZ",0,"20,899","19,390","1,509",7.2,"$40,747 ","10,678","8,799","12,557"
4009,AZ,"Graham County, AZ",0,"14,306","13,344",962,6.7,"$46,714 ","7,854","6,539","9,169"
4011,AZ,"Greenlee County, AZ",0,"3,882","3,588",294,7.6,"$61,110 ","1,144",955,"1,333"
4012,AZ,"La Paz County, AZ",0,"8,430","7,922",508,6,"$34,285 ","4,976","4,066","5,886"
4013,AZ,"Maricopa County, AZ",1,"2,071,011","1,976,440","94,571",4.6,"$58,742 ","624,923","606,269","643,577"
4015,AZ,"Mohave County, AZ",1,"80,139","74,844","5,295",6.6,"$42,003 ","36,665","31,608","41,722"
4017,AZ,"Navajo County, AZ",0,"41,136","37,744","3,392",8.2,"$37,440 ","30,379","27,100","33,658"
4019,AZ,"Pima County, AZ",1,"467,481","444,339","23,142",5,"$47,644 ","180,513","170,936","190,090"
4021,AZ,"Pinal County, AZ",1,"163,194","154,165","9,029",5.5,"$52,642 ","60,679","54,514","66,844"
4023,AZ,"Santa Cruz County, AZ",0,"19,101","17,187","1,914",10,"$39,090 ","9,569","7,753","11,385"
4025,AZ,"Yavapai County, AZ",1,"99,073","94,201","4,872",4.9,"$49,824 ","29,418","25,056","33,780"
4027,AZ,"Yuma County, AZ",1,"93,621","76,016","17,605",18.8,"$42,998 ","37,850","32,384","43,316"
